Experiment,spite_sigma,comp_sigma,diff_sigma,cost,average_mean_spite,average_max_spite,average_sd_spite,average_mean_density,final_spite_10_quantile,final_spite_25_quantile,final_spite_50_quantile,final_spite_75_quantile,final_spite_90_quantile
d1.c4.s4_cost0.005,4.0,4.0,1.0,0.005,-0.74092436,0.32007903,0.47774687,0.00028765557,-1.7999993562698364,-1.1999999284744263,-0.8000000715255737,-0.5,-0.34999996423721313
d1.c4.s8_cost0.005,8.0,4.0,1.0,0.005,0.33469442,1.3683717,0.3821184,0.01922183,-0.1000000387430191,0.09999996423721313,0.2999999523162842,0.5000000596046448,0.7000000476837158
d1.c8.s4_cost0.005,4.0,8.0,1.0,0.005,-0.83914083,0.11832436,0.44243604,3.9333016e-05,-1.2499998807907104,-1.0000001192092896,-0.7000000476837158,-0.5,-0.3999999761581421
d1.c8.s8_cost0.005,8.0,8.0,1.0,0.005,-0.95735574,0.5373741,0.57552546,0.0008835566,-1.8499994277954102,-1.549999713897705,-1.0000001192092896,-0.34999996423721313,0.050000037997961044
d16.c4.s4_cost0.005,4.0,4.0,16.0,0.005,-0.21968268,0.692115,0.39417088,0.004359588,-0.6000000834465027,-0.40000003576278687,-0.10000000894069672,0.04999999329447746,0.14999999105930328
d16.c4.s8_cost0.005,8.0,4.0,16.0,0.005,-0.8966596,0.26450202,0.44806468,0.00057248725,-1.3499997854232788,-1.2999998331069946,-1.100000023841858,-0.8500000834465027,-0.6000000238418579
d16.c8.s4_cost0.005,4.0,8.0,16.0,0.005,-0.35700563,0.72901905,0.5486532,0.0033339248,-1.100000023841858,-0.9000000953674316,-0.6500000357627869,-0.2999999523162842,3.799796033376879e-08
d16.c8.s8_cost0.005,8.0,8.0,16.0,0.005,-0.9829293,0.08501864,0.40740532,0.00079503184,-1.699999451637268,-1.4499996900558472,-1.2499998807907104,-1.0500000715255737,-0.9000000953674316
d2.c4.s4_cost0.005,4.0,4.0,2.0,0.005,0.37625763,1.1074083,0.259479,0.019771306,0.09999996423721313,0.24999995529651642,0.34999996423721313,0.5,0.550000011920929
d2.c4.s8_cost0.005,8.0,4.0,2.0,0.005,0.73240155,1.6087906,0.3153145,0.0367151,0.3999999761581421,0.6000000238418579,0.7500000596046448,0.9000000953674316,1.5499995946884155
d2.c8.s4_cost0.005,4.0,8.0,2.0,0.005,-0.9283855,0.05097967,0.40703747,6.125393e-05,-1.8999993801116943,-1.5999995470046997,-1.2000000476837158,-0.6500000357627869,-0.3999999761581421
d2.c8.s8_cost0.005,8.0,8.0,2.0,0.005,0.28894085,1.0578843,0.30498558,0.015852237,-0.04999999329447746,0.20000000298023224,0.40000003576278687,0.6000000834465027,0.7500001192092896
d4.c4.s4_cost0.005,4.0,4.0,4.0,0.005,0.73052853,1.5300283,0.2987291,0.036407392,0.09999996423721313,0.24999995529651642,0.8000000715255737,1.0500000715255737,1.399999737739563
d4.c4.s8_cost0.005,8.0,4.0,4.0,0.005,0.8442474,1.7985029,0.3798987,0.042198554,0.24999995529651642,0.44999998807907104,0.6000000238418579,1.100000023841858,1.5499995946884155
d4.c8.s4_cost0.005,4.0,8.0,4.0,0.005,-1.1209294,0.72529566,0.8191546,0.0034157825,-2.399998903274536,-1.9999992847442627,-1.2999998331069946,-0.8500000834465027,3.6507845635469494e-08
d4.c8.s8_cost0.005,8.0,8.0,4.0,0.005,0.56297225,1.4082566,0.35068437,0.027802616,-0.050000037997961044,0.24999995529651642,0.6000000238418579,0.9000000953674316,1.100000023841858
d8.c4.s4_cost0.005,4.0,4.0,8.0,0.005,0.6282158,1.7810432,0.4085123,0.03226986,0.1499999612569809,0.3999999761581421,1.0500000715255737,1.3499997854232788,1.4499996900558472
d8.c4.s8_cost0.005,8.0,4.0,8.0,0.005,0.43400505,1.6101767,0.52745986,0.026877351,0.1499999612569809,0.24999995529651642,0.3999999761581421,0.6000000238418579,0.8000000715255737
d8.c8.s4_cost0.005,4.0,8.0,8.0,0.005,0.42422572,1.3364228,0.4278636,0.023261353,0.24999995529651642,0.34999996423721313,0.5,0.7000000476837158,0.8500000834465027
d8.c8.s8_cost0.005,8.0,8.0,8.0,0.005,0.33704683,1.5419229,0.6535658,0.024725242,-0.9500001072883606,-0.6000000834465027,0.3999999761581421,0.9000000953674316,1.149999976158142
